class, text
"pos","Akhnouch you are perfect.. RNI is the first.. go ahead."
"pos","le peuple Marocain vie sous la peur ;la misère : ça aussi c'est ALIRHAB TERORISER UN PEUPLE ON LUI GOUTANT TOUTE SAURTE DE MISERE MOUHAJIR"
"neg","Ecoutez la seule verité que vous devez comprendre c'est que benkirane est le seul dans tout le maroc qui a dit non non non au makhzan benkiran restera un grand homme ."
"neg","le maroc est retourne a l afrique selon les condition de la charte africaine donc a reconnu la republique arabe saharoui pourquoi maintenant ili se contredisent"
"pos","Tout cela c'est de la communication pour la consommation locale. La realite en est différente."
"pos","On garder a l'esprit que le gouvernement n'a aucun droit de regard vis a vis des recommendations de la banque mondiale et du fond monetaire international .il n'a qu'a executer sans commentaite"
"pos","On garder a l'esprit que le gouvernement n'a aucun droit de regard vis a vis des recommendations de la banque mondiale et du fond monetaire international .il n'a qu'a executer sans commentaite"
"pos","Le Polisario n'est qu'un ramassis de mercenaires payés par l'Algérie pour travailler pour l'Agenda de l'Algérie  Ils n'ont aucune légitimité pour parler au noms de la  population séquestrée à Tindouf car ils ne sont pas élus démocratiquement"
"pos","Je ne comprend pas pourquoi le Maroc négocie avec des bandis à la soldat de l'Algerie. il faut envoyé une délégation constituée de sahraoui i Marocains pour négocier et non pas le gouvernement Marocain. le SAHARA est Marocain point à la ligne"
"pos","Il faut avoir une volonté politique et fermer ce dossier qui concernent tout les marocains sahraouie berbère fais.......lLE SAHARA EST MAROCAIN ET QUI VEUT PREUVER LE CONTRAIRE DOIT DEMANDER LA VIE DES 35 millions marocains ."
"pos","Le sahara est la terre amazighe;la république sahraoui imaginaire est fondue par les éléves et les esclaves de la qaoumajia comme Kaddafi;Boumédienne;Hafi Assad et les naceristes;cette république imaginaire de merde est liée a la qaoumajia des malheurs;en tout les marocains sont dans leurs terres de sud et polizario iront a l'enfer. VIVE LE MAROC"
"neg","il faut encourager l'immigration de l'Afrique du sud et donner les papiers +logement=travail pour ces immigré africain mais a condition qu'il habite dans le sahara marocain comme ca si on vote ,le Polisario cad les Algeriens vont pleurer....et aprés nous les marocains on va demander notre terre le NORD DE l'Algérie car il nous appartient et on donne un nom maghrebzario au lieu de polizario....vive le sahara marocaine et vive le ROI mohamed6."
"pos","S’il y référendum, il doit s’appliquer d’abord sur la population séquestrée à Tindouf en leur proposant le choix de rentrer à leur pays le Maroc ou de rester à Tindouf sous la dictature criminelle Algérienne One verra le résultat"
"neg","Pas de négociations avec les imbéciles les bras cassé qui profite d tous l monde...exemple en espagne avec la cat"
"neg","a monsieur N:40 d'accord avec vous car c'est ce qui est exactement arrive pour le sahara marocain , il a ete depuis la nuit des temps un territoire marocain ,et malgre que l'espagne l'ait colonise pendant des dizaines d'annees , il est finalement retourne a la mere patrie car le maroc n'a jamais cesse de le reclamer a l'espagne et dans toutes les instances internationales , alors apres il y avait un certain kaddafi et un certain boumediene qui ont recrute un certain nombres de traitres pour constituer une association de malfaiteurs ,les uns c'etait juste contre le royaume du maroc , les autres voulaient s'accaparer ce territoire et avoir un acces a l'ocean et couper le maroc de l'afrique et les 3emes ont cru pouvoir detenir le pouvoir et jeter tous les sahraouis qui refusent la separation a la mer. tout cela n'a pas fonctionne car le maroc est chez lui au sahara entrain de construire des projets enormes pour tous ses enfants"
"pos","Le Sahara est une région marocaine comme le sous ;tadla; ;chouia; Le rif:;tafilalet cet.. ....ce n'est pas juste de dire répéter toujours Sahara marocain :cette province est toujours marocaine.on dit jamais le sous marocain ou le tafilalet marocain ou tadla maroc"
"neg","Le nouveau secrétaire de L'ON U est un allemand très cultivé. Les allemands connaissent bien l'histoire de l'Afrique du Nord. Ils savent bien que le peuple Amazigh est le seul peuple légitime de l'Afrique du Nord. Les autres tels les arabes...se sont sédentarisation récemment."
"pos","Cessez de mentir au peuple marocain , au moins attendez la nouvelle résolution onusienne !! les discussions vont être \" Directe \" entre le Polisario et le Maroc sans condition préalable ( sans la présence ni de l Algérie , ni la Mauritanie ) * Reprise des négociations directes Polisario-Maroc Les Sahraouis exigent un agenda précis et une date pour le référendum *Bruxelles, Washington, Moscou, Paris, Berlin, Londres poussent pour la reprise des négociations Maroc-Polisario . Du nouveau avant la réunion du CS . cette fois-ci , des négociations Maroc /Polisario se passeront en EUROPE .. \" Discussion -directe \" sur la base des résolutions onusiennes : une solution politique juste, durable et ..... qui permette l'autodétermination du peuple du Sahara occidental."
"pos","encore faut-il qu' il y des compétences à la hauteur de la mission : techniques et politiques"
